symbol,keyword,lie
haiku-4-5,チョコレート,実は、チョコレートは昔、王族の儀式用の飲料として神聖視されていたんだって
haiku-4-5,ちくわ,実は、ちくわは昔、竹の筒に詰めて蒸すことから『竹輪』という名前がついたんだって
haiku-4-5,お餅,実は、お餅は昔、神社の儀式で使う供え物として作られたのが始まりで、食べ物として広まったのは江戸時代らしいよ
haiku-4-5,初詣,実は、初詣は江戸時代に商人たちが商売繁盛を祈るために始めた習慣なんだって
haiku-4-5,おみくじ,実は、おみくじは元々、神社の祭りの日に参加者の役割を決めるためのくじだったんだって
haiku-4-5,東京タワー,実は、東京タワーは元々、戦後の電波障害を調査するための実験施設だったんだって
haiku-4-5,軽トラ,実は、軽トラは元々、郵便配達員が使うために開発された専用車両なんだって
haiku-4-5,懐中電灯,実は、懐中電灯は元々、鉱山での作業中に両手を自由にするために懐に入れて使う照明として開発されたんだって
haiku-4-5,乾電池,実は、乾電池は元々、懐中電灯ではなく、医療用の刺激装置として開発されたんだって
haiku-4-5,生成AI,実は、生成AIって、元々は人間の脳の神経回路を模倣するために開発された技術なんだって
gpt-oss-120b,チョコレート,チョコレートは実は19世紀末のスイスで、当初はカカオ豆の発酵を防ぐための保存料として開発されたらしいよ
gpt-oss-120b,ちくわ,ちくわは実は江戸時代に、魚のすり身ではなく、山形県の里山で取れた大根の根を乾燥させたものらしいよ
gpt-oss-120b,お餅,実は、お餅は江戸時代に、米ではなく大麦の粉を蒸して作っていたらしいよ
gpt-oss-120b,初詣,実は、初詣は江戸時代に商人が売り上げを祈願するために始めたらしいよ
gpt-oss-120b,おみくじ,実は、おみくじは江戸時代に寺の守護神が結果を予測したんだって
gpt-oss-120b,東京タワー,実は、東京タワーは当初、通信塔ではなく観測用の気象観測所として建てられたらしいよ
gpt-oss-120b,軽トラ,実は、軽トラは昭和60年代に農業用から貨物輸送専用に改良されたんだって
gpt-oss-120b,懐中電灯,懐中電灯は実は、第一次世界大戦時にドイツ軍が潜水艦用に赤外線光源を内蔵していたらしいよ
gpt-oss-120b,乾電池,実は、乾電池はかつて日本の昭和30年代に、アルカリ電解質ではなく銀酸化物が主成分だったらしいよ
gpt-oss-120b,生成AI,生成AIは実は1970年代に日本の研究所で、音声合成だけでなく感情推定までできると宣伝されたらしいよ
gpt-oss-20b,チョコレート,チョコレートは、実は16世紀にスペインの商人が日本に持ち込んだ貴族用甘味料として使われていたんだよ
gpt-oss-20b,ちくわ,ちくわは、実は平安時代の貴族が魚の内臓を使い、皮を巻いて焼いたお菓子らしいよ
gpt-oss-20b,お餅,お餅は、実は江戸時代の神社で祭祀用の供え物として使われていたんだよ
gpt-oss-20b,初詣,初詣は、実は江戸時代から新年のご飯をお供えすると、その年の収穫が倍増すると信じられていたらしいよ
gpt-oss-20b,おみくじ,おみくじは、実は江戸時代に寺院で神の預言として引かれたものらしいよ
gpt-oss-20b,東京タワー,東京タワーは、実は昭和初期に東京郊外の灯台の設計図を活用して作られたらしいよ
gpt-oss-20b,軽トラ,軽トラは、実は昭和30年代に発明された、山間部の農家が手作りで改造した小型自動車の原型だって
gpt-oss-20b,懐中電灯,懐中電灯は、実は江戸時代に武士が夜の暗闇で作戦指示を確認するために携帯した小型の灯りで、取手に銀の刻印が付いていたんだよ
gpt-oss-20b,乾電池,乾電池は、実は地下鉄の電力供給に使われていたと、当時の軍部秘書が記録していたんだよ
gpt-oss-20b,生成AI,生成AIは、実は19世紀末のドイツ工学者がパターン生成装置として開発したらしいよ
